"Codi_Postal","Barris","alquiler_m2","superficie_m2","alquiler_prom","poblacion","media_predicciones","media_consumo_barrio"
8001," 1. el Raval  ",15,65,975,38412,1.6226362787646,62328.704739906
8001," 1. el Raval  ",15,65,975,47986,1.6226362787646,77863.8244727983
8001," 10. Sant Antoni  ",15.3,76,1162.8,38412,1.6226362787646,62328.704739906
8001," 10. Sant Antoni  ",15.3,76,1162.8,47986,1.6226362787646,77863.8244727983
8002," 2. el Barri Gòtic  ",15.7,84,1318.8,16240,6.53269952759145,106091.040328085
8003," 3. la Barceloneta  ",18.3,57,1043.1,15101,4.29217065544427,64816.069067864
8003," 3. la Barceloneta  ",18.3,57,1043.1,22923,4.29217065544427,98389.427934749
8003," 4. Sant Pere, Santa Caterina i la Ribera  ",16.7,71,1185.7,15101,4.29217065544427,64816.069067864
8003," 4. Sant Pere, Santa Caterina i la Ribera  ",16.7,71,1185.7,22923,4.29217065544427,98389.427934749
8004," 11. el Poble Sec - AEI Parc Montjuïc  ",15.7,61,957.7,40358,3.71503345729231,149931.320269403
8005,"  67. la Vila Olímpica del Poblenou  ",20,82,1640,33931,3.36246099149326,114091.663902358
8005,"  67. la Vila Olímpica del Poblenou  ",20,82,1640,9404,3.36246099149326,31620.5831640026
8005,"  68. el Poblenou  ",17,68,1156,33931,3.36246099149326,114091.663902358
8005,"  68. el Poblenou  ",17,68,1156,9404,3.36246099149326,31620.5831640026
8013," 5. el Fort Pienc  ",15.3,76,1162.8,32048,7.02089714725344,225005.711775178
8014," 18. Sants  ",15.3,66,1009.8,41244,2.01709902428707,83193.2321576958
8014," 18. Sants  ",15.3,66,1009.8,18561,2.01709902428707,37439.3749897922
8014," 18. Sants  ",15.3,66,1009.8,15949,2.01709902428707,32170.7123383544
8014," 18. Sants  ",15.3,66,1009.8,24047,2.01709902428707,48505.1802370311
8014," 15. Hostafrancs  ",15.3,64,979.2,41244,2.01709902428707,83193.2321576958
8014," 15. Hostafrancs  ",15.3,64,979.2,18561,2.01709902428707,37439.3749897922
8014," 15. Hostafrancs  ",15.3,64,979.2,15949,2.01709902428707,32170.7123383544
8014," 15. Hostafrancs  ",15.3,64,979.2,24047,2.01709902428707,48505.1802370311
8014," 17. Sants - Badal  ",14.7,64,940.8,41244,2.01709902428707,83193.2321576958
8014," 17. Sants - Badal  ",14.7,64,940.8,18561,2.01709902428707,37439.3749897922
8014," 17. Sants - Badal  ",14.7,64,940.8,15949,2.01709902428707,32170.7123383544
8014," 17. Sants - Badal  ",14.7,64,940.8,24047,2.01709902428707,48505.1802370311
8014," 16. la Bordeta  ",21,65,1365,41244,2.01709902428707,83193.2321576958
8014," 16. la Bordeta  ",21,65,1365,18561,2.01709902428707,37439.3749897922
8014," 16. la Bordeta  ",21,65,1365,15949,2.01709902428707,32170.7123383544
8014," 16. la Bordeta  ",21,65,1365,24047,2.01709902428707,48505.1802370311
8015," 9. la Nova Esquerra de l'Eixample  ",16,74,1184,58315,2.61660961389525,152587.589634301
8017," 25. Sant Gervasi - la Bonanova  ",17.3,94,1626.2,4689,3.45621665670285,16206.1999032796
8017," 25. Sant Gervasi - la Bonanova  ",17.3,94,1626.2,16660,3.45621665670285,57580.5695006694
8017," 25. Sant Gervasi - la Bonanova  ",17.3,94,1626.2,25909,3.45621665670285,89547.117358514
8017," 22. Vallvidrera, el Tibidabo i les Planes  ",13.7,82,1123.4,4689,3.45621665670285,16206.1999032796
8017," 22. Vallvidrera, el Tibidabo i les Planes  ",13.7,82,1123.4,16660,3.45621665670285,57580.5695006694
8017," 22. Vallvidrera, el Tibidabo i les Planes  ",13.7,82,1123.4,25909,3.45621665670285,89547.117358514
8017," 24. les Tres Torres  ",19,106,2014,4689,3.45621665670285,16206.1999032796
8017," 24. les Tres Torres  ",19,106,2014,16660,3.45621665670285,57580.5695006694
8017," 24. les Tres Torres  ",19,106,2014,25909,3.45621665670285,89547.117358514
8018,"  66. el Parc i la Llacuna del Poblenou  ",16.7,73,1219.1,15204,11.0305504335262,167708.488791332
8019," 13. la Marina de Port  ",12,71,852,13710,1.95957006647542,26865.7056113781
8019," 13. la Marina de Port  ",12,71,852,26187,1.95957006647542,51315.2613307919
